"","X.2","X.1","X","Run","ReleaseDate","LoadDate","spots","bases","spots_with_mates","avgLength","size_MB","AssemblyName","download_path","Experiment","LibraryName","LibraryStrategy","LibrarySelection","LibrarySource","LibraryLayout","InsertSize","InsertDev","Platform","Model","SRAStudy","BioProject","Study_Pubmed_id","ProjectID","Sample","BioSample","SampleType","TaxID","ScientificName","SampleName","g1k_pop_code","source","g1k_analysis_group","Subject_ID","Sex","Disease","Tumor","Affection_Status","Analyte_Type","Histological_Type","Body_Site","CenterName","Submission","dbgap_study_accession","Consent","RunHash","ReadHash","Status"
"11",11,11,11,"ERR4440302","2020/08/12 08:55:22","2020/08/14 16:01:22",1094519,298538954,1093214,272,103,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR4440/ERR4440302","ERX4380805","","WGS","PCR","VIRAL RNA","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS4935702","SAMEA7175263","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7175263",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"BARTS HEALTH NHS TRUST","ERA2805853",NA,"public","633B11680E1C8D53436C556A528D2399","EB6F6FC344E1E6784FFAFB56BA7C864B","Complete"
"12",12,12,12,"ERR4440332","2020/08/12 08:55:22","2020/08/14 16:01:11",704233,194481068,703692,276,49,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR4440/ERR4440332","ERX4380835","","WGS","PCR","VIRAL RNA","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS4935732","SAMEA7175293","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7175293",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"BARTS HEALTH NHS TRUST","ERA2805951",NA,"public","7F676ED0D38766A27055D914B0624CFB","BD01DD1F9523FBACF7DD6F4F5D0DF49D","Complete"
"13",13,13,13,"ERR4440402","2020/08/12 08:55:24","2020/08/14 17:00:55",786402,221377734,785942,281,56,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR4440/ERR4440402","ERX4380905","","WGS","PCR","VIRAL RNA","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS4935801","SAMEA7175362","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7175362",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"BARTS HEALTH NHS TRUST","ERA2806159",NA,"public","79EAA7210784D65B0C9D3B905039A23C","10567D35075CC9A3691E309AE6F67F1A","Complete"
"14",14,14,14,"ERR4440425","2020/08/12 08:55:24","2020/08/14 17:01:33",1261296,334602089,1252559,265,130,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR4440/ERR4440425","ERX4380928","","WGS","PCR","VIRAL RNA","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS4935823","SAMEA7175384","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7175384",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"BARTS HEALTH NHS TRUST","ERA2806224",NA,"public","D92A6CD9274990DB118BF77CA99CBF07","5B10086C092444447EC0D7D3E86EE9B8","Complete"
"15",15,15,15,"ERR4440731","2020/08/12 08:55:29","2020/08/14 17:04:12",911221,249588675,910645,273,69,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR4440/ERR4440731","ERX4381234","","WGS","PCR","VIRAL RNA","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS4936111","SAMEA7175673","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7175673",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"BARTS HEALTH NHS TRUST","ERA2807117",NA,"public","E6E09D5FD55918C434F4CB2C2A0C4823","ADF6243CD5D99C897274064F0626454A","Complete"
"16",16,16,16,"ERR4660086","2020/10/08 09:57:57","2020/11/08 08:44:10",1022877,282661732,1022140,276,78,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era14/ERR/ERR4660/ERR4660086","ERX4582900","","WGS","PCR","VIRAL RNA","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5136277","SAMEA7377838","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7377838",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"BARTS HEALTH NHS TRUST","ERA2939874",NA,"public","4ED7D084A634872B290C434F32800129","FA488DDF1E85091D312D31504FB373B0","Complete"
"17",17,17,17,"ERR4665875","2020/10/09 12:17:32","2020/11/07 08:50:51",607328,146204684,606807,240,42,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era22/ERR/ERR4665/ERR4665875","ERX4588657","","WGS","PCR","VIRAL RNA","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5141076","SAMEA7382921","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7382921",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"BARTS HEALTH NHS TRUST","ERA2946404",NA,"public","CE07E90B2070877101BF0238EFCF9730","9F6CAE9CA55490233BB3504254358829","Complete"
"18",18,18,18,"ERR4692420","2020/10/20 14:34:32","2020/12/19 22:19:00",226190,60168523,0,266,22,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era23/ERR/ERR4692/ERR4692420","ERX4613505","","WGS","PCR","VIRAL RNA","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5216570","SAMEA7458387","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7458387",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"BARTS HEALTH NHS TRUST","ERA2999517",NA,"public","4C58BF87A887A4C2279586D954732EF2","5A1BD0437E7CBB3AA2E47122748E1708","Incomplete File"
"19",19,19,19,"ERR4692568","2020/10/20 14:34:33","2021/01/10 09:41:18",375522,140139778,0,373,31,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era7/ERR/ERR4692/ERR4692568","ERX4613654","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5216725","SAMEA7458543","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7458543",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA2999977",NA,"public","591AF9160F5EFB647CFF9F7B9625A734","457ACCA83F04BEC9AA93D82BFC4E8A1E","Incomplete File"
"20",20,20,20,"ERR4692877","2020/10/20 14:52:34","2021/01/10 09:41:26",1034636,353897956,0,342,90,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era12/ERR/ERR4692/ERR4692877","ERX4613962","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5217034","SAMEA7458852","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7458852",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3000917",NA,"public","8E01AA6749DA1473D72532BFBE0E0FD7","91B06249D6B6308D36D71D4ED4B4C6C3","Incomplete File"
"21",21,21,21,"ERR4692945","2020/10/20 14:52:35","2021/01/10 09:49:35",97009,29911140,0,308,7,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era14/ERR/ERR4692/ERR4692945","ERX4614031","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5217105","SAMEA7458923","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7458923",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3001129",NA,"public","CF89022BC2EEA1661569147240C1C9D8","8C83767D3E6682AFACD8EC16E9BB939D","Incomplete File"
"22",22,22,22,"ERR4693014","2020/10/20 14:52:37","2021/01/10 09:44:34",1138397,394501781,0,346,99,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era13/ERR/ERR4693/ERR4693014","ERX4614100","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5217175","SAMEA7458993","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7458993",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3001339",NA,"public","19B89C9CE4B95076533F09FD9D24ECC1","10900B29158D40788532546605700DEF","Incomplete File"
"23",23,23,23,"ERR4693019","2020/10/20 14:52:37","2020/12/19 12:39:07",212518,60293770,0,283,21,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era23/ERR/ERR4693/ERR4693019","ERX4614104","","WGS","PCR","VIRAL RNA","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5217179","SAMEA7458997","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7458997",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"BARTS HEALTH NHS TRUST","ERA3001351",NA,"public","88E68B4193EC769093BC15232F151B0F","A4258CD78F36FC73A63ABD70FF34B3C4","Incomplete File"
"24",24,24,24,"ERR4693177","2020/10/20 14:52:39","2021/01/10 09:41:27",770380,260897728,0,338,65,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era13/ERR/ERR4693/ERR4693177","ERX4614264","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5217342","SAMEA7459160","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7459160",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3001839",NA,"public","C460388A1ECED217EB3A51A2A81C6490","5DEB45FF6525A104D2570ED445DF6E6E","Incomplete File"
"25",25,25,25,"ERR4693437","2020/10/20 14:56:58","2021/01/10 09:43:39",177285,61245179,0,345,14,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era13/ERR/ERR4693/ERR4693437","ERX4614521","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5217598","SAMEA7459417","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7459417",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3002621",NA,"public","CF524E7ACB02915DE5046E57DB7BC768","3E79C83D3D5F528D0C4EE184A42659C7","Incomplete File"
"26",26,26,26,"ERR4693495","2020/10/20 14:56:59","2021/01/10 09:41:12",194501,64839179,0,333,15,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR4693/ERR4693495","ERX4614577","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5217654","SAMEA7459473","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7459473",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3002792",NA,"public","EF0C925CF23A4775C74DBE0E20DC6BF1","37BED5A3B9FAA0F35E7219236BF56BCA","Complete"
"27",27,27,27,"ERR4693801","2020/10/20 15:04:31","2021/01/10 09:41:14",166645,58156137,0,348,13,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era7/ERR/ERR4693/ERR4693801","ERX4614888","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5217963","SAMEA7459782","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7459782",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3003736",NA,"public","C9B415847B7F22AC39D80DAFADAD2759","84EFB3C523CE8ECE25730A048A172121","Complete"
"28",28,28,28,"ERR4693865","2020/10/20 15:04:32","2021/01/10 09:41:13",122371,44990705,0,367,10,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era7/ERR/ERR4693/ERR4693865","ERX4614951","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5218027","SAMEA7459846","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7459846",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3003929",NA,"public","7F0952782C034126740C6FE012673FF4","3EA6DD19F00811168F75FB6D901F0243","Complete"
"29",29,29,29,"ERR4694010","2020/10/20 15:10:39","2021/01/10 09:41:14",88495,29749167,0,336,6,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era7/ERR/ERR4694/ERR4694010","ERX4615096","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5218172","SAMEA7459992","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7459992",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3004367",NA,"public","A5017ABBC1F30880013835519C4611C7","9BD3ED1B3B6ACE677C3C93DF83323393","Complete"
"30",30,30,30,"ERR4694212","2020/10/20 15:20:38","2021/01/10 09:41:29",363082,121524436,0,334,31,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era13/ERR/ERR4694/ERR4694212","ERX4615299","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5218370","SAMEA7460190","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7460190",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3004987",NA,"public","66C7BFBAA4AFC660A16B37CCBA02F275","3229DA42BDBC48D0BD6C4D34413871A1","Complete"
"31",31,31,31,"ERR4694330","2020/10/20 15:20:40","2021/01/13 06:47:51",537886,190935623,0,354,48,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era18/ERR/ERR4694/ERR4694330","ERX4615417","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5218487","SAMEA7460307","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7460307",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3005350",NA,"public","49D3782CA2A4CCA091DBB48D6196FCAA","3523DD9B7F1A7D14BE5C5FC0FDCCDA3E","Complete"
"32",32,32,32,"ERR4694400","2020/10/20 15:24:04","2021/01/10 09:41:21",105579,35147537,0,332,8,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era13/ERR/ERR4694/ERR4694400","ERX4615486","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5218554","SAMEA7460374","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7460374",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3005565",NA,"public","BCC051593F6937E9AB000D73CB655C2F","EFB59EE4C2053CCA359A14A702F69D82","Complete"
"33",33,33,33,"ERR4694556","2020/10/20 15:27:30","2021/01/10 09:43:58",446263,146545875,0,328,37,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era12/ERR/ERR4694/ERR4694556","ERX4615642","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5218710","SAMEA7460530","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7460530",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3006048",NA,"public","7B0726B5E558C42E9D6C59ED44ADF679","CFB2DEADC6297F81ED9A82648F72831F","Complete"
"34",34,34,34,"ERR4694571","2020/10/20 15:27:30","2021/01/10 09:41:53",122479,41115095,0,335,9,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era14/ERR/ERR4694/ERR4694571","ERX4615657","","WGS","PCR","GENOMIC","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5218724","SAMEA7460544","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7460544",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"UNIVERSITY COLLEGE LONDON HOSPITAL","ERA3006091",NA,"public","C485F7ED168514D3F3B31409A6B43551","D4A993210BB6B32C9914596711F439EC","Complete"
"35",35,35,35,"ERR4694617","2020/10/20 15:36:09","2020/12/19 01:17:22",283092,79111815,0,279,18,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era23/ERR/ERR4694/ERR4694617","ERX4615702","","WGS","PCR","VIRAL RNA","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5218769","SAMEA7460589","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7460589",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"BARTS HEALTH NHS TRUST","ERA3006232",NA,"public","A51BC8F6F506FFA9BA4BB197525CCD3C","C745260BFE1BC58F1D7F1C541391AEA6","Complete"
"36",36,36,36,"ERR5076163","2021/01/30 14:12:48","2021/01/31 11:20:13",348940,100001647,0,286,22,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era18/ERR/ERR5076/ERR5076163","ERX4882319","","WGS","PCR","VIRAL RNA","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5540623","SAMEA7793355","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7793355",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"BARTS HEALTH NHS TRUST","ERA3250491",NA,"public","4888ABFD4C64E94009BDD5051907EEB6","CB314F37B4EC9496A64887742A8544A5","Complete"
"37",37,37,37,"ERR5076748","2021/01/30 14:28:06","2021/01/31 13:18:54",270587,74625298,0,275,17,"assembly","https://sra-download.ncbi.nlm.nih.gov/traces/era14/ERR/ERR5076/ERR5076748","ERX4882902","","WGS","PCR","VIRAL RNA","SINGLE",0,0,"ILLUMINA","Illumina MiSeq","ERP121228","PRJEB37886",NA,629258,"ERS5541203","SAMEA7793936","simple",2697049,"Severe acute respiratory syndrome coronavirus 2","SAMEA7793936",NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"BARTS HEALTH NHS TRUST","ERA3252244",NA,"public","927554478D43727793C9EF1C7999EF37","2EF025A97D77F66356BB14145F9E9AA8","Complete"
